id_origine,name,accuracy,remaining geometry
1,Corbas - Chemins de Simandres a Luzinay - 100 - UtagawaVTT.com,0.009161356997825427,[('SRID=4326;MULTILINESTRING((4.916939731289244 45.607166291063194,4.9172401 45.6070805,4.9178624 45.6069732,4.9180984 45.6068873,4.9181628 45.6068659,4.9182916 45.606823,4.9186349 45.606823,4.918775867781871 45.60683865903118),(4.926633747206043 45.60682022104686,4.928073446013802 45.60774638071813),(4.936657275315837 45.62845418676521,4.936078127791554 45.62838880195001))',)]
2,Petite boucle dans les Terres Froides au depart de Saint-Didier-de-la-Tour - 10126 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
3,Les Chaberts - Les Quatre Seigneurs - 10375 - UtagawaVTT.com,0.0007307577197872794,[('SRID=4326;LINESTRING(5.755392269872696 45.12748790018706,5.755202004574135 45.12728535970795)',)]
4,Coteau de Marennes - 103 - UtagawaVTT.com,0.0088885606544857,[('SRID=4326;LINESTRING(4.918784907322023 45.606796122591476,4.9185276 45.6067157,4.9182916 45.6066298,4.9180555 45.6066298,4.9168611030207 45.60710761816645)',)]
5,Boucle Vercors depuis Grenoble - Col des 2 Soeurs - 10629 - UtagawaVTT.com,0.013078432514469777,[('SRID=4326;MULTILINESTRING((5.644423447604594 45.022005648614446,5.641675331002975 45.01806582334264),(5.550135787639723 45.07076328420031,5.549907033662386 45.070832522132044),(5.549907033662386 45.070832522132044,5.549879037 45.070840996,5.549938834776082 45.070902199305515),(5.549938834776082 45.070902199305515,5.550010968 45.070976028,5.550189662908953 45.07100962307269),(5.550209536121084 45.07107256993954,5.550184976 45.07108801,5.550033012 45.071035959,5.549938834776082 45.070902199305515),(5.549938834776082 45.070902199305515,5.549899992 45.070847031,5.549907033662386 45.070832522132044),(5.549907033662386 45.070832522132044,5.549967969 45.070706969,5.550120712687132 45.070663191625805),(5.571042359088956 45.11002610622512,5.574878920235718 45.11428350281072))',)]
6,Entre Villard-de-Lans et Lans-en-Vercors - 10757 - UtagawaVTT.com,0.001761204515213298,[('SRID=4326;LINESTRING(5.56005727784911 45.0677439437379,5.560173523 45.067810603,5.560253738 45.067996765,5.559988618 45.068064323,5.559949898367984 45.06806611146275)',)]
85,Tour du Tabor - 11071 - UtagawaVTT.com,0.010325633607364876,[('SRID=4326;MULTILINESTRING((5.859580667385216 44.94044560054517,5.859745843 44.940374829,5.859593272802141 44.94045601371567),(5.87059529151914 45.00502789934187,5.870992597 45.005198792,5.871834727 45.005406495,5.872106971 45.005976716,5.872219289 45.006525479,5.872515924 45.007307595,5.873393845 45.008025421,5.873552832593083 45.008241790110006))',)]
658,Millery - Montagny - Chassagny - 26066 - UtagawaVTT.com,0.032967617876993364,[('SRID=4326;MULTILINESTRING((4.74593451280806 45.61606436198216,4.74566477034915 45.61587395554058),(4.74420761271237 45.61386081372338,4.74404 45.61385,4.74399 45.61375,4.7441 45.61345,4.74436 45.61339,4.74442 45.61329,4.74439 45.61311,4.74451 45.61299,4.74472 45.61293,4.74541 45.61297,4.74566 45.61292,4.7459 45.61283,4.74603 45.61268,4.74624 45.61258,4.74661 45.61237,4.74714 45.61218,4.7475 45.61203,4.74783 45.61197,4.7483 45.612,4.748716568894985 45.61190944154457),(4.750712837865446 45.61156055677774,4.75112 45.61187,4.75135 45.61192,4.75136 45.61194,4.75135 45.61193,4.75143 45.61208,4.751432909170752 45.61217891180556),(4.752809971009253 45.61318056066058,4.75332 45.61337,4.753470732382476 45.61358353754184))',)]
7,Collines d Oyeu et de Chabons - 1100 - UtagawaVTT.com,0.01699229347920791,[('SRID=4326;MULTILINESTRING((5.473428385790243 45.41339760092946,5.473842164508795 45.41247455609576),(5.435662072976155 45.44379166069256,5.435717 45.443783,5.436099 45.442394,5.438528 45.441917,5.439062405754147 45.44159629933062))',)]
8,Corbas - Chemins de Simandres a Luzinay - 100 - UtagawaVTT.com,0.009161356997825427,[('SRID=4326;MULTILINESTRING((4.916939731289244 45.607166291063194,4.9172401 45.6070805,4.9178624 45.6069732,4.9180984 45.6068873,4.9181628 45.6068659,4.9182916 45.606823,4.9186349 45.606823,4.918775867781871 45.60683865903118),(4.926633747206043 45.60682022104686,4.928073446013802 45.60774638071813),(4.936657275315837 45.62845418676521,4.936078127791554 45.62838880195001))',)]
